,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,Bound_sulfur_dioxide
25,6.9,0.49,0.1,1.1939224684724346,0.074,2.5649493574615367,0.9959,3.42,0.58,10.2,2.9444389791664403
26,11.6,0.475,0.4,0.8754687373538999,0.091,1.9459101490553132,0.99704,3.07,0.65,10.03333333,3.1354942159291497
27,9.4,0.34,0.37,1.1631508098056809,0.075,1.791759469228055,0.998,3.22,0.62,9.2,2.1972245773362196
28,8.7,0.54,0.26,1.252762968495368,0.097,2.0794415416798357,0.9976,3.27,0.6,9.3,3.2188758248682006
29,6.0,0.5,0.0,0.8754687373538999,0.057,2.772588722239781,0.99448,3.36,0.45,9.5,2.4849066497880004
30,8.2,0.38,0.32,1.252762968495368,0.08,3.2188758248682006,0.99624,3.27,0.85,11.0,3.8712010109078907
31,8.0,0.705,0.05,1.0647107369924282,0.074,2.1972245773362196,0.9962,3.34,0.95,10.5,2.4849066497880004
32,12.0,0.45,0.55,1.0986122886681096,0.073,3.258096538021482,0.9997,3.1,0.76,10.3,3.2188758248682006
33,7.1,0.52,0.03,1.2809338454620645,0.076,3.091042453358316,0.99745,3.5,0.6,9.8,4.276666119016055
34,10.1,0.935,0.22,1.4816045409242156,0.105,2.4849066497880004,1.001,3.43,0.64,11.3,4.330733340286331
35,9.7,0.55,0.17,1.3609765531356006,0.087,3.044522437723423,1.0004,3.14,0.61,9.4,3.5263605246161616
36,7.3,0.59,0.26,1.0986122886681096,0.08,2.8903717578961645,0.99584,3.28,0.52,9.9,4.477336814478207
37,8.6,0.47,0.47,1.2237754316221157,0.074,2.0794415416798357,0.9979,3.08,0.46,9.5,3.1354942159291497
38,6.9,0.52,0.25,1.2809338454620645,0.081,2.3978952727983707,0.99685,3.46,0.5,11.0,3.332204510175204
39,7.2,0.65,0.02,1.1939224684724346,0.094,1.791759469228055,0.9993,3.67,0.8,9.7,3.295836866004329
40,6.2,0.36,0.24,1.1631508098056809,0.095,2.995732273553991,0.9946,3.57,0.57,11.7,3.1780538303479458
41,9.9,0.35,0.55,1.1314021114911006,0.062,1.791759469228055,0.9971,3.26,0.79,10.6,2.302585092994046
42,7.4,0.635,0.1,1.2237754316221157,0.08,2.833213344056216,0.99736,3.58,0.69,10.8,2.8903717578961645
43,9.4,0.3,0.56,1.33500106673234,0.08,1.9459101490553132,0.9964,3.15,0.92,11.7,2.4849066497880004
44,9.9,0.74,0.28,1.2809338454620645,0.078,3.091042453358316,0.998,3.28,0.51,9.8,4.04305126783455
45,8.9,0.31,0.36,1.2809338454620645,0.056,2.3978952727983707,0.99562,3.4,0.69,11.8,3.4011973816621555
46,5.6,0.915,0.0,1.1314021114911006,0.041,2.8903717578961645,0.99346,3.68,0.73,11.4,4.127134385045092
47,7.1,0.66,0.0,1.2237754316221157,0.052,1.9459101490553132,0.99318,3.35,0.66,12.7,1.791759469228055
48,10.8,0.29,0.42,0.9555114450274365,0.084,2.995732273553991,0.99545,3.28,0.73,11.9,2.1972245773362196
49,10.2,0.42,0.57,1.4816045409242156,0.07,1.6094379124341003,0.9971,3.04,0.63,9.6,1.9459101490553132
50,9.1,0.37,0.32,1.1314021114911006,0.064,1.6094379124341003,0.99576,3.3,0.8,11.2,2.4849066497880004
51,6.6,0.52,0.08,1.2237754316221157,0.07,2.639057329615259,0.99358,3.4,0.72,12.5,2.639057329615259
52,7.8,0.62,0.05,1.1939224684724346,0.079,1.9459101490553132,0.99735,3.29,0.63,9.3,2.5649493574615367
53,7.6,0.39,0.31,1.1939224684724346,0.082,3.1780538303479458,0.9982,3.52,0.65,9.7,3.8918202981106265
54,8.5,0.28,0.35,0.9932517730102834,0.061,1.9459101490553132,0.99524,3.3,0.74,11.8,2.302585092994046
55,7.1,0.35,0.29,1.252762968495368,0.096,3.044522437723423,0.9962,3.42,0.65,11.0,3.5263605246161616
56,8.4,0.6,0.1,1.1631508098056809,0.085,2.70805020110221,0.9964,3.15,0.66,9.8,4.584967478670572
57,6.2,0.43,0.22,1.0296194171811583,0.078,3.091042453358316,0.99633,3.52,0.6,9.5,3.58351893845611
58,8.3,0.34,0.4,1.2237754316221157,0.065,3.2188758248682006,0.99554,3.34,0.86,11.0,3.2188758248682006
59,7.5,0.58,0.14,1.1631508098056809,0.077,3.332204510175204,0.9963,3.28,0.59,9.8,3.5263605246161616
60,6.3,0.57,0.28,1.1314021114911006,0.048,2.639057329615259,0.99374,3.41,0.6,12.8,3.6109179126442243
61,7.8,0.64,0.0,1.0647107369924282,0.072,3.332204510175204,0.9962,3.31,0.63,11.0,3.367295829986474
62,7.8,0.43,0.32,1.33500106673234,0.08,3.4011973816621555,0.9974,3.31,0.64,10.3,3.4011973816621555
63,11.9,0.43,0.66,1.410986973710262,0.109,2.3978952727983707,1.0,3.15,0.85,10.4,2.639057329615259
64,7.2,0.6,0.04,1.252762968495368,0.076,2.9444389791664403,0.99745,3.53,0.55,9.5,4.2626798770413155
65,6.9,0.58,0.01,1.0647107369924282,0.08,3.713572066704308,0.99683,3.4,0.73,9.7,2.70805020110221
66,6.1,0.4,0.16,1.0296194171811583,0.069,2.4849066497880004,0.9955,3.42,0.74,10.1,2.70805020110221
67,12.0,0.5,0.59,0.8754687373538999,0.073,3.1780538303479458,0.998,2.92,0.68,10.5,2.995732273553991
68,7.5,0.63,0.27,1.0986122886681096,0.083,2.8903717578961645,0.99616,3.26,0.58,9.8,4.31748811353631
69,11.0,0.3,0.58,1.1314021114911006,0.054,2.0794415416798357,0.998,3.31,0.88,10.5,2.5649493574615367
70,6.2,0.46,0.29,1.1314021114911006,0.074,3.4965075614664802,0.99578,3.33,0.62,9.8,4.204692619390966
71,6.7,0.56,0.09,1.3609765531356006,0.079,2.0794415416798357,0.99669,3.46,0.61,10.2,2.772588722239781
72,9.4,0.615,0.28,1.4350845252893227,0.087,2.9444389791664403,1.0001,3.31,0.53,9.7,4.007333185232471
73,8.5,0.34,0.44,0.9932517730102834,0.079,1.9459101490553132,0.99605,3.52,0.63,10.7,1.9459101490553132
74,7.5,0.4,0.18,0.9555114450274365,0.079,3.2188758248682006,0.9965,3.34,0.58,9.4,3.5553480614894135
75,7.4,0.61,0.01,1.0986122886681096,0.074,2.639057329615259,0.99748,3.48,0.65,9.8,3.258096538021482
76,6.4,0.865,0.03,1.4350845252893227,0.071,3.332204510175204,0.995,3.61,0.49,12.7,3.4657359027997265
77,6.4,0.79,0.04,1.1631508098056809,0.061,2.4849066497880004,0.99588,3.53,0.65,10.4,1.9459101490553132
78,11.9,0.38,0.49,1.308332819650179,0.098,2.5649493574615367,1.0004,3.16,0.61,10.3,3.4339872044851463
79,6.1,0.56,0.0,1.1631508098056809,0.079,1.9459101490553132,0.9948,3.59,0.54,11.5,1.3862943611198906
80,7.4,0.41,0.24,1.0296194171811583,0.066,2.9444389791664403,0.9956,3.37,0.62,10.4,3.4011973816621555
81,8.0,0.43,0.36,1.1939224684724346,0.075,2.3978952727983707,0.9976,3.34,0.46,9.4,3.6635616461296463
82,12.0,0.38,0.56,1.1314021114911006,0.093,1.9459101490553132,0.99925,3.14,0.71,10.9,2.9444389791664403
83,7.1,0.39,0.12,1.1314021114911006,0.065,2.70805020110221,0.99252,3.3,0.53,13.3,2.3978952727983707
84,7.5,0.52,0.11,0.9162907318741551,0.079,2.4849066497880004,0.9968,3.42,0.58,9.6,3.367295829986474
85,10.6,0.83,0.37,1.2809338454620645,0.086,3.295836866004329,0.9981,3.16,0.52,9.9,3.8066624897703196
86,6.8,0.67,0.02,1.0296194171811583,0.05,1.791759469228055,0.9962,3.48,0.52,9.5,1.9459101490553132
87,7.6,0.41,0.14,1.3862943611198906,0.087,3.091042453358316,0.9964,3.32,0.57,10.5,3.1354942159291497
88,8.9,0.22,0.48,1.0296194171811583,0.077,3.4011973816621555,0.9968,3.39,0.53,9.4,3.4657359027997265
89,8.3,0.85,0.14,1.252762968495368,0.093,2.639057329615259,0.99724,3.36,0.54,10.1,3.7376696182833684
90,7.1,0.68,0.0,1.1631508098056809,0.073,2.5649493574615367,0.9969,3.48,0.5,9.3,2.3978952727983707
91,8.0,0.81,0.25,1.4816045409242156,0.076,3.5553480614894135,0.99668,3.19,0.42,9.2,3.9512437185814275
92,8.5,0.49,0.11,1.1939224684724346,0.084,2.302585092994046,0.9968,3.17,0.53,9.4,4.07753744390572
93,7.5,0.61,0.26,1.0647107369924282,0.073,3.2188758248682006,0.99612,3.3,0.53,9.8,4.174387269895637
94,7.3,0.55,0.03,0.9555114450274365,0.072,2.8903717578961645,0.9956,3.37,0.48,9.0,3.258096538021482
95,8.0,0.45,0.23,1.1631508098056809,0.094,2.833213344056216,0.9962,3.21,0.49,10.2,2.639057329615259
96,8.8,0.42,0.21,1.252762968495368,0.092,3.5263605246161616,0.99823,3.19,0.52,9.2,4.02535169073515
97,7.7,0.835,0.0,1.2809338454620645,0.081,1.9459101490553132,0.9975,3.3,0.52,9.3,2.1972245773362196
98,8.8,0.47,0.49,1.3609765531356006,0.085,2.8903717578961645,0.9982,3.29,0.6,9.8,4.543294782270004
99,10.6,0.5,0.45,1.2809338454620645,0.119,3.5553480614894135,0.99708,3.23,0.72,10.9,3.5553480614894135
100,9.5,0.86,0.26,1.0647107369924282,0.079,2.639057329615259,0.99712,3.25,0.62,10.0,2.772588722239781
101,8.0,0.59,0.05,1.0986122886681096,0.089,2.5649493574615367,0.99735,3.36,0.61,10.0,3.044522437723423
102,8.3,0.31,0.39,1.2237754316221157,0.078,2.8903717578961645,0.99444,3.31,0.77,12.5,3.295836866004329
103,7.0,0.56,0.13,0.9555114450274365,0.077,3.258096538021482,0.99629,3.34,0.59,9.2,2.8903717578961645
104,6.1,0.53,0.08,1.0647107369924282,0.077,3.2188758248682006,0.99528,3.6,0.68,10.3,3.091042453358316
105,7.6,0.41,0.24,1.0296194171811583,0.08,1.6094379124341003,0.9962,3.28,0.59,9.5,2.0794415416798357
106,8.1,0.72,0.09,1.33500106673234,0.084,2.9444389791664403,0.9994,3.43,0.72,11.1,3.4657359027997265
107,8.2,0.4,0.31,1.0647107369924282,0.082,2.1972245773362196,0.996,3.24,0.69,10.6,2.833213344056216
108,7.3,0.305,0.39,0.7884573603642702,0.059,2.0794415416798357,0.99331,3.29,0.52,11.5,1.6094379124341003
109,7.8,0.44,0.28,1.308332819650179,0.1,2.9444389791664403,0.9966,3.22,0.67,9.4,4.356708826689592
110,7.3,0.365,0.49,1.252762968495368,0.088,3.6888794541139363,0.9966,3.36,0.78,11.0,4.219507705176107
111,7.5,0.52,0.4,1.1631508098056809,0.06,2.5649493574615367,0.99474,3.26,0.64,11.8,2.1972245773362196
112,7.3,0.585,0.18,1.2237754316221157,0.078,2.772588722239781,0.99638,3.31,0.54,9.8,3.828641396489095
113,7.5,0.61,0.2,0.9932517730102834,0.076,3.6109179126442243,0.99494,3.1,0.4,9.3,3.2188758248682006
114,8.5,0.37,0.2,1.33500106673234,0.09,2.9444389791664403,0.998,3.34,0.7,9.6,3.713572066704308
115,6.8,0.81,0.05,1.0986122886681096,0.07,1.9459101490553132,0.99562,3.51,0.66,10.8,2.1972245773362196
116,6.8,0.83,0.09,1.0296194171811583,0.074,1.6094379124341003,0.99534,3.38,0.45,9.6,3.091042453358316
117,7.2,0.63,0.0,1.0647107369924282,0.097,2.70805020110221,0.99675,3.37,0.58,9.0,3.2188758248682006
118,6.6,0.44,0.09,1.1631508098056809,0.063,2.302585092994046,0.99444,3.42,0.69,11.3,2.302585092994046
119,11.7,0.28,0.47,0.9932517730102834,0.054,2.8903717578961645,0.99686,3.15,0.67,10.6,2.772588722239781
120,9.8,0.39,0.43,0.9745596399981308,0.068,1.791759469228055,0.99478,3.19,0.46,11.4,1.9459101490553132
121,6.8,0.57,0.0,1.252762968495368,0.072,3.4965075614664802,0.99491,3.43,0.56,11.2,3.4965075614664802
122,12.1,0.4,0.52,1.0986122886681096,0.092,2.772588722239781,1.0,3.03,0.66,10.2,3.6888794541139363
123,6.6,0.58,0.02,1.2237754316221157,0.069,2.995732273553991,0.99387,3.38,0.66,12.6,3.091042453358316
124,6.6,0.855,0.02,1.2237754316221157,0.062,2.772588722239781,0.99627,3.54,0.6,11.0,2.1972245773362196
125,8.0,0.71,0.0,1.2809338454620645,0.08,2.4849066497880004,0.9976,3.44,0.53,9.5,3.1780538303479458
126,6.9,0.63,0.02,1.0647107369924282,0.078,2.9444389791664403,0.99712,3.4,0.75,9.8,2.5649493574615367
127,7.2,0.5,0.18,1.1314021114911006,0.071,2.5649493574615367,0.99761,3.52,0.72,9.6,2.995732273553991
128,6.2,0.785,0.0,1.1314021114911006,0.06,1.9459101490553132,0.99664,3.59,0.61,10.0,2.0794415416798357
129,9.0,0.58,0.25,1.0986122886681096,0.104,2.1972245773362196,0.99769,3.27,0.72,9.6,2.639057329615259
130,9.8,0.66,0.39,1.4350845252893227,0.083,3.091042453358316,0.9989,3.37,0.71,11.5,3.6635616461296463
131,9.3,0.27,0.41,1.0986122886681096,0.091,1.9459101490553132,0.998,3.28,0.7,9.7,2.3978952727983707
132,7.2,0.49,0.24,1.1631508098056809,0.07,1.791759469228055,0.996,3.33,0.48,9.4,3.4657359027997265
133,8.0,0.725,0.24,1.33500106673234,0.083,2.3978952727983707,0.99685,3.35,0.56,10.0,3.970291913552122
134,7.8,0.55,0.35,1.1631508098056809,0.074,3.091042453358316,0.9974,3.25,0.56,9.2,3.828641396489095
135,9.2,0.41,0.5,1.252762968495368,0.055,2.5649493574615367,0.9952,3.34,0.79,13.3,2.639057329615259
136,7.0,0.5,0.25,1.0986122886681096,0.07,1.3862943611198906,0.9963,3.25,0.63,9.2,2.995732273553991
137,5.9,0.46,0.0,1.0647107369924282,0.077,3.258096538021482,0.99385,3.5,0.53,11.2,2.995732273553991
138,11.3,0.37,0.41,1.1939224684724346,0.088,1.9459101490553132,0.9988,3.09,0.8,9.3,2.3978952727983707
139,10.4,0.64,0.24,1.33500106673234,0.105,3.4011973816621555,0.9998,3.24,0.67,9.9,3.2188758248682006
140,8.8,0.61,0.3,1.33500106673234,0.088,2.8903717578961645,0.9976,3.26,0.51,9.3,3.4011973816621555
141,8.2,0.7,0.23,1.0986122886681096,0.099,2.70805020110221,0.9973,3.19,0.7,9.4,4.219507705176107
142,7.0,0.51,0.09,1.1314021114911006,0.062,1.6094379124341003,0.99584,3.35,0.54,10.5,1.791759469228055
143,7.2,0.36,0.46,1.1314021114911006,0.074,3.2188758248682006,0.99534,3.4,0.85,11.0,3.044522437723423
144,8.5,0.37,0.32,1.0296194171811583,0.066,3.295836866004329,0.99456,3.38,0.72,11.8,3.258096538021482
145,9.3,0.43,0.44,1.0647107369924282,0.085,2.302585092994046,0.99708,3.28,0.55,9.5,2.639057329615259
146,7.2,0.53,0.14,1.1314021114911006,0.064,2.772588722239781,0.99323,3.35,0.61,12.1,2.70805020110221
147,10.6,0.31,0.49,1.1631508098056809,0.063,2.9444389791664403,0.9976,3.14,0.51,9.8,3.1354942159291497
148,7.4,0.68,0.16,1.0296194171811583,0.078,2.5649493574615367,0.9977,3.5,0.7,9.9,3.332204510175204
149,8.0,0.52,0.25,1.0986122886681096,0.078,2.995732273553991,0.99612,3.3,0.48,10.2,3.713572066704308
150,8.7,0.63,0.28,1.308332819650179,0.096,2.8903717578961645,0.99734,3.26,0.63,10.2,3.970291913552122
151,9.0,0.4,0.41,1.0986122886681096,0.058,2.772588722239781,0.99414,3.22,0.6,12.2,3.258096538021482
152,8.7,0.42,0.45,1.2237754316221157,0.072,3.4965075614664802,0.99617,3.33,0.77,12.0,3.332204510175204
153,7.7,1.005,0.15,1.1314021114911006,0.102,2.4849066497880004,0.99604,3.23,0.48,10.0,3.091042453358316
154,7.0,0.58,0.12,1.0647107369924282,0.091,3.5553480614894135,0.9956,3.44,0.48,10.5,4.51085950651685
155,6.0,0.58,0.2,1.2237754316221157,0.075,2.772588722239781,0.99467,3.58,0.67,12.5,3.58351893845611
156,10.6,0.42,0.48,1.308332819650179,0.065,1.791759469228055,0.9972,3.21,0.87,11.3,2.639057329615259
157,8.4,0.665,0.61,1.0986122886681096,0.112,2.639057329615259,0.997,3.16,0.54,9.1,4.418840607796598
158,9.3,0.715,0.24,1.1314021114911006,0.07,1.791759469228055,0.9966,3.12,0.59,9.9,2.772588722239781
159,7.9,0.18,0.4,1.1631508098056809,0.049,3.6635616461296463,0.996,3.33,0.93,11.3,3.4011973816621555
160,9.1,0.45,0.35,1.2237754316221157,0.08,3.1780538303479458,0.9987,3.38,0.62,9.5,4.02535169073515
161,7.2,0.35,0.26,1.0296194171811583,0.083,3.5263605246161616,0.9968,3.4,0.58,9.5,3.7612001156935624
162,9.7,0.32,0.54,1.252762968495368,0.094,3.367295829986474,0.9984,3.28,0.82,9.6,4.02535169073515
163,9.5,0.56,0.33,1.2237754316221157,0.089,3.58351893845611,0.9972,3.28,0.73,11.8,3.4965075614664802
164,9.0,0.69,0.0,1.2237754316221157,0.088,2.995732273553991,0.999,3.35,0.6,9.3,2.995732273553991
165,9.7,0.31,0.47,0.9555114450274365,0.062,2.639057329615259,0.9983,3.27,0.66,10.0,3.044522437723423
166,8.0,0.3,0.63,0.9555114450274365,0.081,2.833213344056216,0.99588,3.3,0.78,10.8,2.639057329615259
167,8.4,0.25,0.39,1.0986122886681096,0.041,1.6094379124341003,0.99386,3.27,0.71,12.5,1.9459101490553132
168,6.4,0.39,0.33,1.4586150226995167,0.046,2.5649493574615367,0.99294,3.36,0.62,12.2,3.7376696182833684
169,5.1,0.585,0.0,0.9932517730102834,0.044,2.70805020110221,0.99264,3.56,0.94,12.9,4.290459441148391
170,9.9,0.54,0.26,1.0986122886681096,0.111,2.0794415416798357,0.99709,2.94,0.98,10.2,3.9889840465642745
171,7.8,0.52,0.25,1.0647107369924282,0.081,2.70805020110221,0.9984,3.43,0.65,9.0,3.2188758248682006
172,8.2,0.23,0.42,1.0647107369924282,0.069,2.302585092994046,0.99376,3.21,0.54,12.3,2.1972245773362196
173,10.0,0.73,0.43,1.1939224684724346,0.059,2.772588722239781,0.9966,3.15,0.57,11.0,2.833213344056216
174,6.6,0.61,0.0,0.9555114450274365,0.069,1.6094379124341003,0.99396,3.33,0.37,10.4,1.6094379124341003
175,8.5,0.585,0.18,1.1314021114911006,0.078,1.791759469228055,0.9967,3.2,0.48,9.8,3.258096538021482
176,6.9,0.41,0.31,1.0986122886681096,0.079,3.091042453358316,0.99668,3.47,0.55,9.5,3.4339872044851463
177,11.4,0.6,0.49,1.308332819650179,0.085,2.3978952727983707,0.9994,3.15,0.63,10.5,3.4657359027997265
178,8.8,0.44,0.49,1.33500106673234,0.083,2.9444389791664403,0.9982,3.3,0.6,9.5,4.543294782270004
179,8.7,0.31,0.46,0.8754687373538999,0.059,2.4849066497880004,0.9966,3.36,0.76,10.1,2.70805020110221
180,6.6,0.61,0.01,1.0647107369924282,0.08,2.1972245773362196,0.99746,3.69,0.73,10.5,2.8903717578961645
181,7.1,0.59,0.0,1.1631508098056809,0.078,3.295836866004329,0.99522,3.42,0.68,10.8,2.9444389791664403
182,7.5,0.6,0.32,1.308332819650179,0.103,2.639057329615259,0.99938,3.45,0.62,9.5,4.454347296253507
183,11.9,0.37,0.69,1.1939224684724346,0.078,2.5649493574615367,0.9958,3.0,0.65,12.8,2.5649493574615367
184,8.1,0.87,0.0,1.1631508098056809,0.084,2.3978952727983707,0.99656,3.25,0.5,9.8,3.091042453358316
185,6.3,0.3,0.48,1.0296194171811583,0.069,2.9444389791664403,0.9959,3.44,0.78,10.3,3.784189633918261
186,7.9,0.29,0.49,1.1631508098056809,0.096,3.091042453358316,0.99714,3.31,0.67,10.1,3.6635616461296463
187,7.9,0.2,0.35,0.9932517730102834,0.054,2.0794415416798357,0.99458,3.32,0.8,11.9,2.1972245773362196
188,7.7,0.63,0.08,1.0647107369924282,0.076,2.772588722239781,0.9967,3.32,0.54,9.5,2.5649493574615367
189,8.2,0.26,0.34,1.252762968495368,0.073,2.833213344056216,0.99594,3.4,0.78,11.3,3.4657359027997265
190,6.6,0.895,0.04,1.1939224684724346,0.068,2.0794415416798357,0.99582,3.53,0.58,10.8,1.9459101490553132
191,7.8,0.88,0.0,1.2809338454620645,0.098,3.258096538021482,0.9968,3.2,0.68,9.8,3.7612001156935624
192,7.8,0.58,0.02,1.0986122886681096,0.073,2.302585092994046,0.9968,3.36,0.57,9.5,2.302585092994046
193,8.3,0.54,0.24,1.4816045409242156,0.076,2.833213344056216,0.9976,3.27,0.61,9.4,4.574710978503383
194,9.0,0.54,0.49,1.3609765531356006,0.094,3.7376696182833684,0.9982,3.08,0.61,9.2,4.248495242049359
195,8.6,0.52,0.38,0.9162907318741551,0.096,1.791759469228055,0.99666,3.2,0.52,9.4,2.639057329615259
196,7.2,0.54,0.27,1.2809338454620645,0.084,2.5649493574615367,0.9964,3.39,0.71,11.0,4.204692619390966
197,6.6,0.5,0.01,0.9162907318741551,0.06,2.8903717578961645,0.9952,3.4,0.58,9.8,2.302585092994046
198,8.9,0.32,0.31,1.0986122886681096,0.088,2.5649493574615367,0.9957,3.17,0.55,10.4,2.0794415416798357
199,10.0,0.35,0.45,1.252762968495368,0.092,3.044522437723423,0.99918,3.15,0.43,9.4,4.23410650459726
200,8.9,0.75,0.14,1.252762968495368,0.086,2.302585092994046,0.99824,3.34,0.64,10.5,3.091042453358316
201,10.4,0.55,0.23,1.308332819650179,0.091,2.9444389791664403,0.9994,3.22,0.64,10.3,3.4339872044851463
202,10.0,0.44,0.49,1.308332819650179,0.077,2.4849066497880004,0.9963,3.23,0.63,11.6,2.1972245773362196
203,6.1,0.48,0.09,0.9932517730102834,0.078,2.9444389791664403,0.99402,3.45,0.54,11.2,2.5649493574615367
204,8.7,0.29,0.52,0.9555114450274365,0.113,2.5649493574615367,0.9969,3.25,0.58,9.5,3.258096538021482
205,7.4,0.63,0.07,1.2237754316221157,0.09,2.4849066497880004,0.9979,3.43,0.76,9.7,3.295836866004329
206,9.6,0.54,0.42,1.2237754316221157,0.081,3.258096538021482,0.997,3.2,0.71,11.4,3.332204510175204
207,10.4,0.43,0.5,1.1939224684724346,0.068,2.639057329615259,0.996,3.1,0.87,11.4,1.9459101490553132
208,6.4,0.795,0.0,1.1631508098056809,0.065,3.367295829986474,0.99378,3.49,0.52,11.6,3.2188758248682006
209,7.2,0.57,0.06,0.9555114450274365,0.076,2.302585092994046,0.9972,3.36,0.7,9.6,2.9444389791664403
210,7.4,0.62,0.05,1.0647107369924282,0.068,3.2188758248682006,0.9961,3.42,0.57,11.5,2.9444389791664403
211,6.4,0.64,0.21,1.0296194171811583,0.081,2.70805020110221,0.99689,3.59,0.66,9.8,2.8903717578961645
212,9.8,0.5,0.34,1.1939224684724346,0.094,2.3978952727983707,0.99864,3.24,0.6,9.7,3.58351893845611
213,6.2,0.57,0.1,1.1314021114911006,0.048,1.6094379124341003,0.99448,3.44,0.76,10.8,2.0794415416798357
214,6.2,0.46,0.17,0.9555114450274365,0.073,2.0794415416798357,0.99425,3.61,0.54,11.4,1.6094379124341003
215,11.6,0.32,0.55,1.33500106673234,0.081,3.58351893845611,1.0002,3.32,0.92,10.8,3.4965075614664802
216,5.6,0.85,0.05,0.8754687373538999,0.045,2.5649493574615367,0.9924,3.56,0.82,12.9,4.343805421853684
217,8.4,0.52,0.22,1.308332819650179,0.084,1.6094379124341003,0.99682,3.26,0.57,9.9,2.70805020110221
218,9.1,0.22,0.24,1.1314021114911006,0.078,0.6931471805599453,0.999,3.41,0.87,10.3,3.332204510175204
219,7.6,0.43,0.31,1.1314021114911006,0.069,2.639057329615259,0.9958,3.26,0.54,9.9,4.127134385045092
220,7.6,0.46,0.11,1.2809338454620645,0.079,2.5649493574615367,0.9968,3.21,0.57,10.0,3.6375861597263857
221,7.9,0.31,0.32,1.0647107369924282,0.066,2.70805020110221,0.99364,3.41,0.56,12.6,3.1354942159291497
222,7.1,0.68,0.0,1.1939224684724346,0.087,2.8903717578961645,0.99783,3.45,0.53,9.5,2.302585092994046
223,9.9,0.35,0.38,0.9162907318741551,0.058,3.4657359027997265,0.99676,3.26,0.82,10.6,2.833213344056216
224,8.4,0.37,0.43,1.1939224684724346,0.063,2.5649493574615367,0.9955,3.17,0.81,11.2,2.0794415416798357
225,8.1,0.87,0.0,1.4586150226995167,0.096,3.295836866004329,1.00025,3.6,0.72,9.8,3.58351893845611
226,9.3,0.61,0.26,1.4816045409242156,0.09,3.258096538021482,0.99975,3.24,0.62,9.7,4.143134726391533
