,quality
353,6
354,5
355,4
356,5
357,6
358,6
359,5
360,6
361,7
362,6
363,6
364,7
365,6
366,6
367,4
368,5
369,5
370,5
371,5
372,6
373,5
374,6
375,6
376,5
377,5
378,6
379,6
380,7
381,6
382,7
383,5
384,8
385,7
386,5
387,5
388,5
389,5
390,5
391,5
392,6
393,6
394,5
395,7
396,5
397,5
398,6
399,7
400,6
401,6
402,6
403,6
404,5
405,6
406,5
407,6
408,6
409,5
410,6
411,6
412,5
413,5
414,6
415,7
416,7
417,5
418,5
419,5
420,6
421,6
422,5
423,5
424,5
425,7
426,5
427,7
428,4
429,6
430,5
431,7
432,5
433,6
434,4
435,6
436,5
437,6
438,6
439,7
440,6
441,6
442,7
443,6
444,5
445,6
446,5
447,6
448,6
449,5
450,6
451,6
452,6
453,6
454,5
455,5
456,7
457,5
458,6
459,6
460,6
461,5
462,5
463,6
464,6
465,5
466,5
467,5
468,8
469,6
470,6
471,5
472,5
473,6
474,7
475,7
476,7
477,6
478,6
479,5
480,4
481,6
482,5
483,8
484,6
485,6
486,6
487,5
488,5
489,6
490,5
491,6
492,5
493,7
494,5
495,6
496,5
497,4
498,5
499,6
500,7
501,5
502,7
503,6
504,6
505,6
506,7
507,6
508,6
509,5
510,6
511,7
512,6
513,7
514,7
515,7
516,5
517,6
518,5
519,6
520,6
521,4
522,5
523,6
524,5
525,7
526,6
527,5
528,6
529,6
530,6
531,5
532,5
533,5
534,6
535,5
536,6
537,5
538,4
539,4
540,5
541,5
542,6
543,5
544,6
545,5
546,5
547,6
548,6
549,5
550,5
551,7
552,6
553,7
554,7
555,6
556,6
557,5
558,6
559,5
560,6
561,6
562,6
563,6
564,6
565,5
566,5
567,3
568,6
569,6
570,5
571,6
572,5
573,6
574,6
575,6
576,5
577,6
578,5
579,5
580,5
581,5
582,5
583,5
584,5
585,6
586,7
587,5
588,8
589,5
590,4
591,5
592,6
593,5
594,5
595,5
596,6
597,6
598,5
599,6
600,5
601,7
602,6
603,6
604,6
605,5
606,5
607,6
608,6
609,5
610,5
611,5
612,7
613,5
614,5
615,5
616,6
617,7
618,6
619,6
620,6
621,6
622,5
623,5
624,7
625,6
626,6
627,7
628,6
629,6
630,6
631,6
632,5
633,5
634,5
635,5
636,5
637,6
638,5
639,5
640,6
641,6
642,7
643,6
644,6
645,5
646,6
647,5
648,6
649,5
650,6
651,6
652,6
653,5
654,6
655,5
656,5
657,5
658,5
659,5
660,5
661,5
662,6
663,5
664,7
665,6
666,7
667,6
668,7
669,5
670,5
671,6
672,5
673,5
674,5
675,7
676,6
677,5
678,6
679,6
680,5
681,5
682,5
683,5
684,6
685,5
686,6
687,5
688,7
689,6
690,6
691,6
692,6
693,5
694,6
695,6
696,6
697,6
698,6
699,6
700,6
701,5
702,5
703,6
704,5
705,6
706,5
707,6
708,6
709,6
710,6
711,4
712,5
713,6
714,7
715,5
716,5
717,6
718,7
719,7
720,5
721,5
722,5
723,6
724,7
725,5
726,6
727,5
728,6
729,4
730,5
731,6
732,5
733,4
734,5
735,5
736,5
737,5
738,5
739,7
740,6
741,6
742,5
743,8
744,7
745,5
746,6
747,5
748,6
749,6
750,6
751,5
752,6
753,5
754,7
755,5
756,8
757,5
758,5
759,5
760,5
761,5
762,6
763,6
764,5
765,6
766,5
767,7
768,6
769,6
770,5
771,5
772,5
773,6
774,5
775,6
776,5
777,6
778,5
779,4
780,5
781,6
782,5
783,7
784,7
785,4
786,6
787,5
788,5
789,6
790,5
791,6
792,5
793,5
794,6
795,6
796,6
797,6
798,5
799,6
800,6
801,6
802,6
803,6
804,6
805,6
806,5
807,5
808,6
809,6
810,5
811,6
812,4
