fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,m_sulfur_dioxide
6.5,0.35,0.36,0.5877866649021191,0.034,4.718498871295094,0.98942,3.11,0.5,12.1,7.785888077858882
7.1,0.32,0.29,1.6094379124341003,0.038,5.14166355650266,0.99463,3.27,0.64,10.2,7.728337236533958
7.6,0.27,0.42,1.2809338454620645,0.044,4.709530201312334,0.9912,3.31,0.51,12.7,6.728538283062644
8.6,0.23,0.46,0.6931471805599453,0.054,4.290459441148391,0.9941,2.95,0.49,9.1,2.2784810126582276
8.2,0.2,0.49,1.5040773967762742,0.057,4.6913478822291435,0.9928,3.19,0.35,11.5,3.3412887828162297
5.7,0.28,0.24,2.917770732084279,0.044,5.123963979403259,0.9989,3.31,0.44,9.4,13.921113689095126
7.0,0.33,0.32,0.7884573603642702,0.053,4.9344739331306915,0.9906,3.13,0.28,11.2,9.200968523002421
6.4,0.26,0.22,1.8082887711792655,0.037,4.882801922586371,0.9944,3.29,0.32,10.1,5.361305361305361
6.7,0.24,0.33,2.5877640352277083,0.046,4.983606621708336,0.9983,3.36,0.4,9.5,7.110091743119267
6.6,0.16,0.32,0.8754687373538999,0.035,5.231108616854587,0.9906,3.35,0.64,12.4,11.264367816091955
6.1,0.32,0.33,2.4595888418037104,0.036,4.59511985013459,0.99521,3.34,0.52,10.2,6.221198156682028
7.9,0.22,0.45,2.7212954278522306,0.038,4.955827057601261,0.9992,3.03,0.46,9.2,13.151364764267992
7.3,0.34,0.39,1.8245492920510458,0.04,5.099866427824199,0.9925,3.3,0.47,12.4,10.465116279069768
6.6,0.23,0.27,1.8870696490323797,0.043,5.10594547390058,0.9953,3.27,0.76,9.5,10.07025761124122
5.1,0.31,0.3,0.6418538861723948,0.037,5.030437921392435,0.992,3.54,0.56,10.1,6.167400881057269
6.1,0.26,0.28,0.9932517730102834,0.043,4.59511985013459,0.98918,3.14,0.44,12.5,5.797101449275361
7.0,0.31,0.31,2.312535423847214,0.036,4.948759890378168,0.99216,2.98,0.31,12.0,11.306532663316583
6.0,0.17,0.29,1.791759469228055,0.028,4.6913478822291435,0.99076,3.14,0.34,12.3,6.038647342995168
7.5,0.305,0.4,2.990719731730447,0.059,5.14166355650266,1.0,2.99,0.46,9.0,11.027568922305765
7.9,0.255,0.26,1.0986122886681096,0.026,5.25227342804663,0.9932,3.04,0.39,11.2,9.900990099009901
7.6,0.2,0.26,1.7578579175523736,0.033,4.343805421853684,0.99076,2.98,0.49,12.3,6.532663316582915
7.3,0.22,0.3,2.2192034840549946,0.047,5.337538079701318,0.9966,3.33,0.46,9.5,9.699769053117782
6.5,0.33,0.3,1.5686159179138452,0.036,4.48863636973214,0.99028,3.25,0.63,12.5,8.0
7.4,0.22,0.27,0.9555114450274365,0.057,4.59511985013459,0.99299,3.29,0.44,9.9,10.48951048951049
8.0,0.37,0.31,1.7404661748405044,0.038,4.852030263919617,0.99186,2.9,0.72,12.1,0.7692307692307693
7.0,0.21,0.42,1.840549633397487,0.037,4.820281565605037,0.99321,3.14,0.52,10.9,8.695652173913043
6.4,0.21,0.34,2.8361502037295256,0.04,4.962844630259907,0.99678,3.11,0.38,10.6,13.625304136253042
7.0,0.26,0.26,2.468099531471619,0.039,5.220355825078325,0.99787,3.47,0.58,10.3,8.277404921700223
6.4,0.28,0.41,2.0541237336955462,0.045,5.37989735354046,0.9952,3.09,0.46,9.4,14.91442542787286
7.3,0.43,0.37,1.7227665977411035,0.028,4.74493212836325,0.991,3.23,0.43,13.2,4.0189125295508275
7.3,0.28,0.37,0.7884573603642702,0.039,4.605170185988092,0.99198,3.01,0.62,10.8,6.483790523690773
6.2,0.28,0.43,2.639057329615259,0.039,5.455321115357702,0.99745,3.08,0.38,8.9,15.686274509803921
6.3,0.29,0.23,2.7212954278522306,0.037,4.605170185988092,0.99528,3.08,0.38,10.6,5.88235294117647
5.8,0.42,0.3,1.1631508098056809,0.035,4.867534450455582,0.989,3.32,0.47,12.9,6.018518518518518
7.8,0.23,0.28,1.749199854809259,0.042,5.117993812416755,0.9928,2.96,0.4,11.5,11.363636363636363
6.2,0.35,0.25,2.9652730660692823,0.051,5.209486152841421,0.99946,3.13,0.62,9.3,6.779661016949153
7.9,0.42,0.49,2.2192034840549946,0.056,5.10594547390058,0.9965,3.29,0.6,11.2,7.459207459207459
6.9,0.3,0.21,2.8154087194227095,0.056,5.075173815233827,0.99827,3.11,0.48,9.0,11.922141119221413
6.7,0.18,0.19,1.7404661748405044,0.046,5.087596335232384,0.9946,3.32,0.66,10.5,13.194444444444443
7.8,0.3,0.4,1.0296194171811583,0.028,4.812184355372417,0.9914,3.14,0.39,10.9,5.5555555555555545
6.6,0.24,0.29,1.0986122886681096,0.023,4.465908118654584,0.99,3.25,0.45,12.5,4.470588235294118
6.8,0.23,0.4,0.9555114450274365,0.047,4.897839799950911,0.993,3.23,0.7,11.4,1.1820330969267139
7.0,0.29,0.26,0.9555114450274365,0.044,4.477336814478207,0.9923,3.08,0.46,10.5,2.941176470588235
6.9,0.28,0.31,2.1041341542702074,0.04,5.1298987149230735,0.9946,3.29,0.57,10.6,10.955710955710956
7.3,0.24,0.43,1.0986122886681096,0.021,4.248495242049359,0.99,3.08,0.56,12.2,4.901960784313726
6.5,0.35,0.31,2.4159137783010487,0.069,5.14166355650266,0.99692,3.18,0.49,9.4,13.875598086124404
6.0,0.2,0.26,2.7536607123542622,0.045,4.836281906951478,0.998365,2.99,0.69,9.4,13.283208020050125
7.6,0.35,0.47,2.6602595372658615,0.037,4.762173934797756,0.99822,3.04,0.5,9.2,10.396039603960396
5.8,0.31,0.31,2.1400661634962708,0.052,5.442417710521793,0.9949,3.19,0.46,9.8,13.126491646778044
8.8,0.17,0.38,1.0296194171811583,0.04,5.003946305945459,0.9942,3.16,0.67,10.2,9.375
6.1,0.34,0.31,2.5649493574615367,0.053,5.476463551931511,0.9977,3.16,0.48,8.6,11.057692307692307
6.8,0.25,0.3,2.5494451709255714,0.043,4.897839799950911,0.99524,3.03,0.58,10.4,13.151364764267992
7.5,0.25,0.32,2.2192034840549946,0.024,5.3471075307174685,0.99563,3.12,0.46,10.8,12.864077669902912
6.0,0.22,0.33,2.580216829592325,0.033,4.584967478670572,0.99356,3.17,0.42,11.3,5.995203836930456
7.7,0.26,0.51,1.2809338454620645,0.045,5.075173815233827,0.99126,3.0,0.5,11.2,6.5
6.7,0.3,0.29,1.33500106673234,0.025,4.68213122712422,0.99159,3.31,0.63,11.3,8.584686774941995
7.0,0.29,0.37,0.9555114450274365,0.035,4.844187086458591,0.99058,3.26,0.47,12.3,7.981220657276996
7.1,0.26,0.32,2.8449093838194073,0.044,5.14166355650266,0.99644,3.17,0.37,11.2,7.434052757793765
6.3,0.19,0.29,1.8718021769015913,0.042,5.247024072160486,0.99304,3.19,0.47,10.3,10.501193317422436
6.8,0.22,0.41,2.0412203288596382,0.034,4.762173934797756,0.99245,3.18,0.46,11.5,9.330143540669857
7.2,0.33,0.28,0.8754687373538999,0.034,4.700480365792417,0.99246,3.28,0.57,10.6,6.074766355140188
7.0,0.27,0.29,1.589235205116581,0.059,5.298317366548036,0.9961,3.54,0.59,10.3,6.167400881057269
5.7,0.265,0.28,2.066862759472976,0.036,5.017279836814924,0.99299,3.36,0.44,10.8,10.550458715596331
6.4,0.17,0.34,2.667228206581955,0.044,4.941642422609304,0.99752,3.06,0.43,9.1,11.08374384236453
7.1,0.3,0.46,0.9162907318741551,0.066,4.897839799950911,0.9906,3.12,0.54,12.7,7.038834951456311
5.2,0.25,0.23,0.8754687373538999,0.047,4.356708826689592,0.99001,3.32,0.62,11.4,4.62962962962963
5.7,0.18,0.26,1.1631508098056809,0.023,4.564348191467836,0.9893,3.07,0.54,12.3,5.159705159705159
6.7,0.27,0.12,0.832909122935104,0.041,4.9344739331306915,0.9921,3.21,0.42,10.0,14.726840855106888
7.0,0.13,0.3,1.791759469228055,0.056,4.812184355372417,0.9945,3.47,0.42,10.5,6.935123042505592
8.3,0.33,0.42,0.7654678421395714,0.033,4.574710978503383,0.9911,3.2,0.32,12.4,4.285714285714286
7.7,0.34,0.3,2.1972245773362196,0.048,5.262690188904886,0.9951,2.97,0.47,10.9,6.297229219143577
8.3,0.27,0.34,2.4159137783010487,0.048,4.77912349311153,0.99716,3.18,0.51,10.3,11.961722488038278
7.0,0.2,0.35,2.2823823856765264,0.037,4.6443908991413725,0.99388,3.13,0.49,11.0,7.506053268765133
6.8,0.37,0.28,1.0647107369924282,0.024,4.672828834461906,0.98993,3.45,0.6,12.6,14.382022471910112
6.7,0.26,0.29,2.1633230256605382,0.038,5.19295685089021,0.99479,3.23,0.56,10.4,9.456264775413711
7.8,0.29,0.36,2.0794415416798357,0.042,5.087596335232384,0.9941,3.26,0.37,11.2,8.92018779342723
6.8,0.22,0.31,2.066862759472976,0.037,4.804021044733257,0.99176,3.02,0.39,11.9,8.208955223880597
7.5,0.28,0.33,2.1633230256605382,0.048,5.198497031265826,0.9974,3.37,0.59,10.1,9.610983981693364
7.7,0.18,0.3,0.7884573603642702,0.046,5.298317366548036,0.99413,3.03,0.38,9.3,12.158808933002483
4.8,0.29,0.23,0.7419373447293773,0.044,5.198497031265826,0.98924,3.28,0.34,11.9,8.878504672897197
5.8,0.415,0.13,0.8754687373538999,0.04,4.174387269895637,0.9922,3.29,0.52,10.5,2.564102564102564
7.9,0.18,0.33,0.7884573603642702,0.033,4.290459441148391,0.9922,3.12,0.38,10.5,4.854368932038835
7.4,0.24,0.4,1.667706820558076,0.032,4.564348191467836,0.992,3.09,0.39,11.1,2.2004889975550124
6.6,0.16,0.34,0.7419373447293773,0.037,4.7535901911063645,0.9899,3.01,0.68,12.0,10.224438902743143
7.3,0.16,0.35,0.9162907318741551,0.036,4.6913478822291435,0.99342,3.27,0.51,10.2,6.791569086651054
6.7,0.38,0.26,2.3561258599220753,0.036,4.5217885770490405,0.9919,2.98,0.37,12.4,8.793969849246231
6.4,0.18,0.28,2.89314568477889,0.047,4.941642422609304,0.99724,3.25,0.35,10.5,12.470588235294118
7.6,0.29,0.26,2.0149030205422647,0.042,5.081404364984463,0.9944,3.14,0.47,10.7,7.729468599033815
7.1,0.25,0.3,1.2237754316221157,0.042,4.812184355372417,0.994,3.43,0.61,10.5,5.643340857787811
7.0,0.23,0.33,1.916922612182061,0.04,4.919980925828125,0.995,3.19,0.58,9.5,5.966587112171839
7.0,0.14,0.28,0.832909122935104,0.026,4.04305126783455,0.99352,3.46,0.45,9.9,2.242152466367713
6.1,0.22,0.28,2.865053949911875,0.059,4.912654885736052,0.99665,3.2,0.38,10.5,12.857142857142856
5.7,0.16,0.26,1.9878743481543455,0.043,4.736198448394496,0.9936,3.06,0.58,9.9,6.896551724137931
6.4,0.24,0.23,1.0986122886681096,0.046,4.897839799950911,0.9908,3.12,0.54,11.4,7.281553398058252
5.5,0.23,0.19,1.1631508098056809,0.044,5.087596335232384,0.99209,3.19,0.43,10.4,9.307875894988069
7.0,0.23,0.42,2.94706710157271,0.05,4.976733742420574,0.9999,3.22,0.42,8.8,8.293838862559241
8.3,0.4,0.41,2.2192034840549946,0.05,4.812184355372417,0.9979,3.39,0.49,9.3,3.4168564920273345
6.3,0.23,0.31,0.9162907318741551,0.022,4.418840607796598,0.9892,3.3,0.4,12.9,2.558139534883721
6.0,0.28,0.35,1.0647107369924282,0.037,4.795790545596741,0.9933,3.16,0.69,10.6,3.846153846153846
6.6,0.24,0.3,2.509599262378372,0.026,4.356708826689592,0.99381,3.13,0.55,12.8,2.663438256658596
6.8,0.2,0.38,1.7404661748405044,0.04,4.6443908991413725,0.994,3.37,0.58,10.7,6.178489702517163
8.5,0.25,0.27,1.7404661748405044,0.031,4.532599493153256,0.9922,3.01,0.33,12.0,7.73067331670823
6.9,0.3,0.45,0.8754687373538999,0.039,4.812184355372417,0.99059,3.07,0.47,11.1,8.845208845208845
6.0,0.28,0.27,2.803360380906535,0.036,4.90527477843843,0.99408,3.19,0.44,13.0,7.39856801909308
8.0,0.16,0.36,0.9162907318741551,0.033,4.812184355372417,0.9941,3.2,0.39,10.3,3.333333333333333
6.6,0.325,0.49,2.1633230256605382,0.049,5.384495062789089,0.996,3.16,0.4,9.3,12.740384615384615
6.3,0.29,0.14,2.085672091430472,0.045,5.181783550292085,0.99564,3.23,0.42,9.0,11.820330969267138
6.9,0.28,0.3,2.2300144001592104,0.026,4.736198448394496,0.99139,2.99,0.38,12.3,9.273182957393484
6.3,0.29,0.28,1.7404661748405044,0.059,4.406719247264253,0.99036,3.24,0.56,12.7,6.60377358490566
6.6,0.25,0.3,2.7343675094195836,0.052,5.214935757608986,0.998,3.02,0.5,9.1,9.950248756218906
6.2,0.33,0.14,1.7578579175523736,0.052,4.859812404361672,0.99475,3.21,0.48,9.4,6.4133016627078385
6.2,0.21,0.24,0.7884573603642702,0.051,4.564348191467836,0.99036,3.24,0.57,11.3,7.311320754716981
6.2,0.25,0.25,0.8754687373538999,0.03,4.663439094112067,0.9912,3.3,0.44,11.1,8.13953488372093
7.0,0.24,0.36,1.33500106673234,0.034,4.727387818712341,0.99,3.19,0.38,12.6,5.250596658711218
7.7,0.43,0.28,1.7047480922384253,0.046,4.634728988229636,0.9918,3.16,0.56,12.2,7.9326923076923075
8.4,0.23,0.49,2.174751721484161,0.035,4.564348191467836,0.9935,3.04,0.34,12.0,5.445544554455446
6.6,0.34,0.2,0.6931471805599453,0.053,4.727387818712341,0.99336,3.32,0.55,9.1,6.018518518518518
6.3,0.13,0.42,0.7419373447293773,0.043,4.990432586778736,0.99066,3.13,0.72,11.2,15.254237288135593
7.0,0.32,0.35,0.9162907318741551,0.039,4.836281906951478,0.9918,3.17,0.64,12.2,5.755395683453237
6.6,0.22,0.28,1.7749523509116738,0.042,5.198497031265826,0.9952,3.3,0.75,9.5,11.86046511627907
6.6,0.25,0.36,2.2082744135228043,0.045,5.198497031265826,0.9958,3.08,0.42,9.2,13.235294117647058
4.8,0.13,0.32,0.7884573603642702,0.042,4.59511985013459,0.9898,3.42,0.64,11.8,9.049773755656108
6.9,0.31,0.32,0.9555114450274365,0.036,4.74493212836325,0.99068,3.19,0.45,11.4,8.1145584725537
5.4,0.22,0.35,2.0149030205422647,0.029,4.477336814478207,0.99092,3.29,0.44,12.5,6.0606060606060606
6.1,0.33,0.32,2.174751721484161,0.052,5.214935757608986,0.99657,3.39,0.65,9.5,11.84510250569476
7.4,0.25,0.29,2.0541237336955462,0.02,4.736198448394496,0.99338,3.13,0.29,10.8,7.506053268765133
6.2,0.35,0.29,2.1162555148025524,0.044,5.501258210544727,0.9956,3.36,0.55,10.0,12.844036697247708
7.1,0.31,0.5,2.740840023925201,0.059,5.003946305945459,0.9983,2.94,0.44,9.1,1.5228426395939088
7.4,0.29,0.25,1.5686159179138452,0.044,4.74493212836325,0.992,3.11,0.4,11.0,7.299270072992702
8.8,0.28,0.45,1.9459101490553132,0.022,3.912023005428146,0.9934,3.01,0.33,11.1,3.491271820448878
8.0,0.27,0.33,0.7884573603642702,0.05,4.6443908991413725,0.99002,3.0,0.45,12.4,10.25
8.8,0.23,0.35,2.4595888418037104,0.04,5.214935757608986,0.9984,2.93,0.49,9.1,6.6157760814249365
6.6,0.24,0.38,2.1972245773362196,0.042,5.236441962829949,0.99577,3.21,0.46,9.2,13.30166270783848
7.2,0.14,0.32,0.7419373447293773,0.022,4.762173934797756,0.99218,3.04,0.67,10.0,11.881188118811881
7.4,0.29,0.28,2.4159137783010487,0.032,4.9344739331306915,0.9951,3.1,0.47,10.6,10.487804878048781
7.4,0.29,0.31,0.9932517730102834,0.035,4.709530201312334,0.9926,3.07,0.38,10.9,5.6511056511056506
6.1,0.24,0.3,0.9162907318741551,0.045,4.127134385045092,0.992,3.31,0.54,10.4,5.104408352668213
7.8,0.21,0.34,2.5572273113676265,0.039,4.948759890378168,0.9959,3.02,0.31,10.3,13.681592039800996
7.7,0.34,0.27,2.2823823856765264,0.063,5.220355825078325,0.9969,3.09,0.63,9.2,9.535452322738386
5.7,0.1,0.27,0.832909122935104,0.047,4.61512051684126,0.9928,3.27,0.46,9.5,4.918032786885246
7.3,0.26,0.49,1.791759469228055,0.028,4.68213122712422,0.9936,3.24,0.54,10.8,7.547169811320754
6.5,0.08,0.33,1.0647107369924282,0.028,4.543294782270004,0.991,3.34,0.7,12.0,5.299539170506913
6.3,0.16,0.4,0.9555114450274365,0.033,5.003946305945459,0.9914,3.44,0.53,11.4,13.288288288288289
7.0,0.25,0.32,2.302585092994046,0.046,5.5053315359323625,0.9955,3.25,0.5,10.4,13.176470588235293
7.4,0.155,0.34,1.1939224684724346,0.045,5.3706380281276624,0.9934,3.18,0.61,9.9,17.58373205741627
7.4,0.32,0.27,0.8754687373538999,0.049,5.159055299214529,0.99335,3.03,0.52,9.3,9.429280397022334
7.0,0.3,0.38,2.766319109226186,0.032,5.204006687076795,0.9983,3.18,0.61,9.3,14.354066985645934
5.8,0.2,0.24,0.8754687373538999,0.033,5.135798437050262,0.99043,3.59,0.56,12.3,14.161220043572985
6.9,0.32,0.16,0.8754687373538999,0.051,4.574710978503383,0.994,3.22,0.38,9.5,3.554502369668246
7.1,0.44,0.23,1.916922612182061,0.035,4.61512051684126,0.99062,3.15,0.57,13.2,5.783132530120481
7.0,0.31,0.35,0.9555114450274365,0.063,4.787491742782046,0.99184,3.22,0.5,10.7,3.0805687203791465
7.4,0.19,0.49,2.0412203288596382,0.037,4.709530201312334,0.9938,3.2,0.38,11.0,3.571428571428571
6.9,0.2,0.5,2.3978952727983707,0.036,5.123963979403259,0.9964,3.15,0.55,10.2,18.795180722891565
7.5,0.24,0.31,2.6461747973841225,0.05,5.198497031265826,0.99884,3.05,0.53,9.1,6.419753086419753
6.3,0.28,0.22,2.3513752571634776,0.04,4.718498871295094,0.99338,3.05,0.31,10.8,7.407407407407407
8.5,0.23,0.34,0.832909122935104,0.035,4.709530201312334,0.99176,3.07,0.55,11.0,13.267813267813267
7.4,0.35,0.31,2.9418039315284354,0.062,5.236441962829949,1.0002,3.27,0.64,9.1,9.836065573770492
8.5,0.19,0.56,2.9069010598473755,0.055,5.135798437050262,1.00047,3.07,0.67,9.3,11.547911547911546
6.5,0.23,0.39,1.0647107369924282,0.036,4.59511985013459,0.99,3.19,0.43,11.9,9.785202863961816
6.8,0.31,0.3,2.1972245773362196,0.028,4.812184355372417,0.99164,3.13,0.63,12.6,7.990314769975787
6.4,0.16,0.32,2.277267285009756,0.038,4.77912349311153,0.99449,3.19,0.41,10.7,9.069212410501194
6.5,0.33,0.24,2.740840023925201,0.048,4.574710978503383,0.99456,3.06,0.3,11.5,4.926108374384236
7.1,0.22,0.33,1.33500106673234,0.033,5.0369526024136295,0.9899,3.15,0.38,12.7,11.566265060240962
6.2,0.28,0.41,1.791759469228055,0.043,5.241747015059643,0.99318,3.23,0.64,10.8,11.820330969267138
6.0,0.16,0.36,0.9555114450274365,0.042,4.127134385045092,0.99143,3.22,0.54,10.8,3.0805687203791465
5.8,0.26,0.3,1.2809338454620645,0.034,4.867534450455582,0.9902,3.2,0.38,11.5,17.857142857142858
6.8,0.18,0.46,0.8754687373538999,0.064,5.081404364984463,0.9924,3.37,0.45,11.1,8.466819221967963
6.0,0.33,0.18,1.3862943611198906,0.036,4.454347296253507,0.99125,3.28,0.4,11.5,1.1682242990654208
7.2,0.31,0.35,2.1041341542702074,0.046,5.187385805840755,0.9955,3.14,0.53,9.7,10.869565217391303
6.1,0.31,0.26,1.1631508098056809,0.051,5.123963979403259,0.9926,3.37,0.47,10.4,6.407322654462242
7.9,0.46,0.32,1.62924053973028,0.033,4.9344739331306915,0.9912,3.18,0.44,12.8,9.569377990430622
7.8,0.21,0.39,1.0296194171811583,0.034,5.198497031265826,0.991,3.09,0.75,12.6,15.158924205378973
6.1,0.45,0.27,0.5877866649021191,0.039,4.418840607796598,0.9927,3.23,0.32,9.5,3.073286052009456
6.8,0.25,0.28,1.791759469228055,0.035,4.844187086458591,0.99048,3.12,0.38,12.6,10.194174757281553
5.9,0.17,0.29,1.410986973710262,0.03,4.820281565605037,0.98913,3.41,0.33,13.7,7.256235827664399
7.4,0.15,0.42,0.9932517730102834,0.045,5.043425116919247,0.992,3.0,0.6,10.4,12.25
7.4,0.19,0.3,0.8754687373538999,0.057,4.912654885736052,0.993,3.12,0.5,9.6,8.009708737864077
6.0,0.27,0.31,1.791759469228055,0.043,5.14166355650266,0.9924,3.28,0.52,11.0,12.616822429906543
6.8,0.26,0.42,0.9932517730102834,0.049,4.812184355372417,0.993,3.47,0.48,10.5,9.172259507829976
7.2,0.08,0.49,0.832909122935104,0.05,5.003946305945459,0.9945,3.46,0.44,10.2,4.0358744394618835
6.6,0.22,0.23,2.9069010598473755,0.047,4.77912349311153,0.99906,3.08,0.46,8.8,9.068627450980392
7.6,0.31,0.27,1.916922612182061,0.036,4.700480365792417,0.99399,3.34,0.54,11.0,5.299539170506913
8.3,0.21,0.49,3.0349529867072724,0.054,5.44673737166631,1.0012,2.99,0.54,9.2,12.531328320802004
6.6,0.22,0.34,2.533696813957432,0.05,4.948759890378168,0.99526,3.22,0.4,10.8,13.981042654028434
7.2,0.33,0.34,1.0986122886681096,0.044,5.147494476813453,0.98947,3.25,0.53,13.3,14.352941176470589
6.5,0.3,0.28,2.5217206229107165,0.041,4.700480365792417,0.99418,2.98,0.3,10.9,7.28643216080402
6.4,0.43,0.27,0.7419373447293773,0.054,4.709530201312334,0.9939,3.24,0.52,9.1,1.1792452830188678
5.6,0.26,0.27,2.451005098112319,0.03,4.787491742782046,0.9947,3.4,0.34,10.7,6.136363636363636
7.5,0.42,0.19,2.066862759472976,0.041,5.017279836814924,0.99508,3.23,0.37,10.0,14.657210401891252
7.2,0.21,0.33,1.3862943611198906,0.036,4.890349128221754,0.9928,3.25,0.4,11.0,8.235294117647058
5.2,0.16,0.34,0.5877866649021191,0.029,4.356708826689592,0.99155,3.25,0.51,10.1,6.117647058823529
5.6,0.25,0.19,1.2237754316221157,0.049,5.117993812416755,0.992,3.25,0.43,10.4,9.882352941176471
7.6,0.26,0.32,0.832909122935104,0.048,4.343805421853684,0.9903,2.96,0.46,12.0,5.808080808080808
7.8,0.2,0.2,0.8754687373538999,0.036,4.430816798843313,0.99088,3.03,0.46,11.7,6.2034739454094305
6.0,0.22,0.28,0.7419373447293773,0.034,4.51085950651685,0.98862,3.22,0.38,12.6,11.137440758293836
7.8,0.25,0.41,1.547562508716013,0.042,5.0106352940962555,0.9954,3.36,0.45,10.0,8.486238532110093
7.0,0.31,0.29,0.8754687373538999,0.037,4.859812404361672,0.9896,3.12,0.36,12.2,8.009708737864077
7.0,0.31,0.52,0.9932517730102834,0.029,4.127134385045092,0.9918,3.07,0.43,10.4,1.2285012285012284
7.2,0.34,0.3,2.2407096892759584,0.051,5.123963979403259,0.99756,3.48,0.62,9.7,8.928571428571427
7.0,0.15,0.38,1.1631508098056809,0.047,4.574710978503383,0.9928,3.13,0.39,10.4,7.990314769975787
5.8,0.36,0.32,0.9932517730102834,0.033,4.574710978503383,0.9898,3.03,0.38,11.2,5.459057071960299
7.7,0.4,0.27,1.7047480922384253,0.034,4.564348191467836,0.99175,3.21,0.59,12.3,6.4133016627078385
8.2,0.18,0.49,0.7419373447293773,0.033,4.406719247264253,0.9923,3.0,0.68,10.4,7.0
6.3,0.22,0.28,1.2237754316221157,0.042,4.634728988229636,0.98998,3.14,0.37,11.6,9.178743961352655
6.1,0.16,0.34,1.9600947840472698,0.034,4.74493212836325,0.99365,3.32,0.58,10.13333333,7.175925925925926
6.1,0.24,0.27,2.5257286443082556,0.05,4.897839799950911,0.99476,3.22,0.37,10.8,12.085308056872035
6.7,0.24,0.41,2.272125885509337,0.036,5.003946305945459,0.9952,3.22,0.62,9.9,6.872037914691942
6.8,0.18,0.24,2.379546134130174,0.058,5.241747015059643,0.9952,3.13,0.51,10.6,15.49636803874092
5.6,0.18,0.3,2.4159137783010487,0.028,4.882801922586371,0.9954,3.49,0.42,10.8,6.236080178173719
6.7,0.25,0.26,2.6741486494265287,0.06,5.056245805348308,0.99784,3.39,0.46,9.9,11.389521640091115
6.1,0.41,0.14,2.4336133554004498,0.037,4.787491742782046,0.996,3.38,0.45,10.0,4.109589041095891
7.4,0.26,0.31,2.151762203259462,0.047,5.181783550292085,0.9962,3.13,0.45,8.9,12.590799031476998
5.8,0.17,0.36,0.832909122935104,0.036,4.2626798770413155,0.99202,3.43,0.68,10.4,2.483069977426637
6.1,0.18,0.38,1.1939224684724346,0.033,4.718498871295094,0.98962,3.16,0.49,12.4,6.730769230769231
5.5,0.35,0.35,0.7419373447293773,0.045,5.123963979403259,0.992,3.34,0.68,9.9,3.2258064516129035
6.7,0.41,0.27,1.2809338454620645,0.033,4.454347296253507,0.99086,3.05,0.34,11.7,6.172839506172839
7.6,0.345,0.26,1.0647107369924282,0.043,4.90527477843843,0.9936,3.08,0.38,9.5,3.676470588235294
7.0,0.21,0.28,2.272125885509337,0.045,5.407171771460119,0.9954,3.25,0.54,10.4,8.705882352941176
9.0,0.3,0.49,2.1041341542702074,0.039,4.442651256490317,0.9938,2.94,0.32,11.5,8.121827411167512
7.9,0.28,0.32,1.5260563034950494,0.038,4.343805421853684,0.992,3.05,0.31,11.7,2.2222222222222223
